ID,자장면,피자,통닭,스테이크,립,매운탕,육개장,재구매의사
1,0,1,0,0,0,1,1,1
2,0,1,0,0,0,1,1,1
3,0,0,1,1,0,0,1,1
4,1,0,1,0,0,1,1,1
5,1,0,1,0,0,0,1,1
6,0,1,1,0,1,1,0,0
7,0,1,0,0,1,1,0,0
8,1,1,0,1,1,1,0,1
9,1,0,0,0,1,1,0,1
10,0,1,1,1,1,1,1,0
11,0,1,0,0,0,0,0,0
12,0,0,1,0,0,0,0,1
13,0,0,1,1,0,0,1,1
14,0,0,1,1,1,1,0,0
15,1,1,0,1,0,1,0,0
16,0,1,0,0,0,1,1,0
17,0,1,0,0,0,1,1,1
18,0,0,1,1,0,0,1,0
19,1,0,1,0,0,1,1,1
20,1,0,1,0,0,0,1,0
21,0,1,1,0,1,1,0,0
22,0,1,0,0,1,1,0,0
23,1,1,0,1,1,1,0,1
24,1,0,0,0,1,1,0,1
25,0,1,1,1,1,1,1,1
26,0,1,0,0,0,0,0,1
27,0,0,1,0,0,0,0,0
28,0,0,1,1,0,0,1,0
29,0,0,1,1,1,1,0,0
30,1,1,0,1,0,1,0,1
