ID,X1,X2,X3,X4,X5,X6
1,4,4,2,4,2,2
2,4,4,3,4,3,2
3,2,5,3,2,4,4
4,4,5,3,5,3,2
5,3,4,2,3,3,3
6,5,5,1,4,2,3
7,3,4,2,3,5,4
8,3,4,2,3,2,2
9,4,4,2,4,2,2
10,3,4,2,4,2,2
11,2,3,3,3,2,3
12,4,4,2,4,4,3
13,4,4,2,4,2,2
14,4,4,2,4,3,3
15,4,4,2,4,2,2
16,4,5,2,4,2,2
17,4,2,1,2,1,3
18,5,5,1,5,1,1
19,4,5,2,5,1,2
20,4,4,1,5,2,2
21,3,4,1,3,1,2
22,4,4,2,4,2,2
23,4,4,2,4,2,2
24,3,3,2,3,2,3
25,3,5,1,3,1,1
26,4,4,2,4,2,2
27,3,4,2,2,2,5
28,3,4,2,3,2,3
29,4,4,2,4,2,2
30,5,5,2,5,2,1
31,4,5,1,5,1,1
32,5,5,2,3,3,3
33,3,4,2,4,2,2
34,4,4, ,4,4,4
35,5,5,1,5,2,1
36,5,5,1,4,2,2
37,3,5,2,4,3,3
38,4,3,2,4,2,2
39,5,5,1,4,2,2
40,2,4,2,3,2,4
41,3,4,2,3,3,2
42,4,5,2,4,3,3
43,3,3,4,3,4,3
44,1,5,2,1,1,5
45,3,4,2,3,2,3
46,4,4,2,4,2,2
47,4,4,1,4,2,2
48,4,4,2,4,2,2
49,3,5,2,2,3,2
50,4,5,1,4,3,2
